"strategy","group_size","trial","catches","losts","lock_ons"
"mixed",100,1,2,96,98
"mixed",100,2,1,74,75
"mixed",100,3,1,85,86
"mixed",100,4,1,91,93
"mixed",100,5,2,72,74
"mixed",100,6,2,96,98
"mixed",100,7,1,105,106
"mixed",100,8,1,47,49
"mixed",100,9,2,84,86
"mixed",100,10,3,75,78
"mixed",200,1,3,117,120
"mixed",200,2,3,113,116
"mixed",200,3,5,97,102
"mixed",200,4,4,78,82
"mixed",200,5,7,79,86
"mixed",200,5,6,85,92
"mixed",200,6,3,106,109
"mixed",200,7,5,93,98
"mixed",200,8,3,81,84
"mixed",200,9,2,90,92
"mixed",200,10,6,83,90
"mixed",300,1,2,111,113
"mixed",300,2,3,89,93
"mixed",300,3,3,102,106
"mixed",300,4,5,80,85
"mixed",300,5,3,112,115
"mixed",300,6,4,91,95
"mixed",300,7,7,86,93
"mixed",300,8,5,86,91
"mixed",300,9,2,103,105
"mixed",300,10,4,110,114
"solitary-when-nearby",100,1,3,81,84
"solitary-when-nearby",100,2,3,66,69
"solitary-when-nearby",100,3,3,83,87
"solitary-when-nearby",100,4,2,94,96
"solitary-when-nearby",100,5,1,94,96
"solitary-when-nearby",100,6,4,83,87
"solitary-when-nearby",100,7,4,89,94
"solitary-when-nearby",100,8,2,78,81
"solitary-when-nearby",100,9,3,98,101
"solitary-when-nearby",100,10,0,87,88
"solitary-when-nearby",200,1,3,93,96
"solitary-when-nearby",200,2,4,115,119
"solitary-when-nearby",200,3,3,100,103
"solitary-when-nearby",200,4,3,113,117
"solitary-when-nearby",200,5,3,93,96
"solitary-when-nearby",200,6,2,96,99
"solitary-when-nearby",200,7,6,73,79
"solitary-when-nearby",200,8,2,105,107
"solitary-when-nearby",200,9,5,97,102
"solitary-when-nearby",200,10,4,79,84
"solitary-when-nearby",300,1,4,96,100
"solitary-when-nearby",300,2,4,84,88
"solitary-when-nearby",300,3,3,87,90
"solitary-when-nearby",300,4,5,112,117
"solitary-when-nearby",300,5,7,96,103
"solitary-when-nearby",300,6,2,112,114
"solitary-when-nearby",300,7,4,100,105
